SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,ZRLeafCN,ZRFineRootCN,ZRWoodCN,ZRCoarseRootCN,ZRFoliageLitterCN,ZRMaximumANPP,KMLeafCN,KMFineRootCN,KMWoodCN,KMCoarseRootCN,KMFoliageLitterCN,KMMaximumANPP
AcerRubr,3,FALSE,1360.7,6493.2,-20,0.372,1,FALSE,0.263,0.225,0.3104,0.204,13,45,125,90,65,315,30000,50,45,500,90,65,450,96,48,584,108,78,470.6
BetuLent,3,FALSE,1649.98,3578.13,-18,0.2,1,TRUE,0.219,0.27,0.2018,0.251,13,45,125,90,65,245,30000,50,45,500,90,65,350,78,48,584,96,78,314.6
Cary,2,FALSE,2232.16,5310.4,-7,0.2,1,FALSE,0.187,0.27,0.2,0.251,5,25,25,49,43,158,30000,18,25,100,49,43,225,60,30,470,79,52,321.1
CornFlor,3,FALSE,2443.75,5295.9,-4,0.25,1,TRUE,0.172,0.255,0.255,0.255,13,45,88,90,45,161,15000,50,45,350,90,45,230,54,48,144,96,54,149.5
FaguGran,3,FALSE,1387.8,5112.6,-12,0.28,1,FALSE,0.172,0.255,0.255,0.255,13,45,88,90,45,245,20000,50,45,350,90,45,350,78,54,144,108,54,321.1
FraxAmer,2,FALSE,1456.94,5112.6,-12,0.28,1,FALSE,0.114,0.27,0.2018,0.251,6,26,47,50,65,105,15000,23,26,189,50,65,150,42,32,144,84,36,171.6
LiriTuli,3,FALSE,2295.39,6000,-7,0.3,1,TRUE,0.331,0.255,0.255,0.255,15,45,125,90,65,333,32000,60,45,500,90,65,475,90,54,592,108,54,470.6
NyssSylv,3,FALSE,1910,6960,-2,0.301,1,TRUE,0.172,0.255,0.255,0.255,13,45,23,90,45,210,20000,50,45,90,90,45,300,66,54,576,108,54,292.5
OxydArbo,2,FALSE,2146.02,4993.49,-2,0.3,1,TRUE,0.336,0.255,0.255,0.255,6,45,23,90,55,105,20000,25,45,90,90,55,150,48,54,144,108,66,282.1
PinuStro,1,FALSE,1428,4044.54,-3,0.226,2,FALSE,0.263,0.225,0.3104,0.204,13,43,100,170,100,280,32000,50,43,398,170,100,400,78,52,637,101,66,390
QuerAlba,2,FALSE,1721,5537,-12,0.33,1,TRUE,0.175,0.27,0.2,0.251,5,25,25,50,30,140,32000,18,25,100,50,30,200,48,32,272,84,38,325
QuerRubr,2,FALSE,1100,4571,-17,0.225,1,TRUE,0.249,0.334,0.225,0.303,5,25,25,50,30,140,32000,18,25,100,50,30,200,48,32,192,84,36,325
QuerVelu,2,FALSE,1810,5076,-10,0.3,1,TRUE,0.336,0.255,0.255,0.255,5,25,25,50,30,175,32000,18,25,100,50,30,250,48,32,272,84,38,325
